pop_cd,year,month,avg_score,avg_rat,city,sex,ages,population,num_opencard,num_usecard,monthly_card_spend,monthly_lc,monthly_loan,monthly_bk_loan,monthly_cd_loan,monthly_installments_loan,monthly_insurance_loan,monthly_sbk_loan,loan_commitment,inst_rep_loanb,ls_rep_loanb,credit_loan,mortgage_loan,credit_card_payment,credit_card_installments_payment
L011,2016,1,812,2,서울,,10대,55000,1.44,1.13,70000,92630000,87350000,85790000,0,0,0,0,1120000,8210000,78020000,92170000,87260000,0,0
L011,2016,2,773,4,서울,,10대,380000,1.71,0.96,170000,31140000,28910000,25850000,190000,510000,220000,1020000,680000,4660000,23300000,8260000,42410000,4000,1000
L011,2016,3,771,4,서울,,10대,387000,1.75,0.95,190000,30230000,28180000,25110000,170000,490000,210000,1140000,640000,4370000,22930000,8300000,41710000,3000,1000
L011,2016,4,770,4,서울,,10대,412000,1.76,0.92,200000,30430000,27710000,24630000,190000,510000,240000,1340000,510000,4770000,22160000,9460000,41040000,4000,1000
L011,2016,5,771,4,서울,,10대,414000,1.75,0.94,170000,31210000,27620000,24390000,210000,490000,340000,1490000,640000,4740000,21960000,9660000,40850000,3000,1000
L011,2016,6,771,4,서울,,10대,410000,1.75,0.96,190000,29520000,27020000,23740000,200000,410000,320000,1630000,680000,4730000,21380000,9470000,40130000,4000,2000
L011,2016,7,772,4,서울,,10대,407000,1.75,0.97,180000,28400000,25800000,22140000,220000,520000,320000,1670000,610000,4680000,20230000,8790000,38970000,4000,2000
L011,2016,8,772,4,서울,,10대,403000,1.75,0.98,170000,29170000,26480000,23000000,240000,400000,140000,1720000,830000,4950000,20400000,9660000,40770000,4000,2000
L011,2016,9,772,4,서울,,10대,399000,1.74,0.99,190000,29870000,26910000,23140000,240000,420000,210000,1850000,920000,5240000,20450000,10060000,41590000,5000,2000
L011,2016,10,773,4,서울,,10대,395000,1.73,0.98,180000,30420000,27760000,23850000,190000,460000,190000,1930000,890000,5860000,20780000,9720000,43070000,4000,2000
L011,2016,11,775,4,서울,,10대,390000,1.71,0.98,180000,29560000,27970000,24180000,170000,560000,120000,2040000,880000,5740000,21150000,9440000,43600000,4000,2000
L011,2016,12,775,4,서울,,10대,387000,1.71,0.97,180000,28760000,27070000,22820000,150000,810000,340000,1960000,930000,5290000,20590000,10040000,40750000,4000,2000
L011,2017,1,776,4,서울,,10대,386000,1.69,0.97,190000,28770000,26990000,22800000,210000,770000,340000,1850000,1010000,5320000,20360000,10150000,40510000,5000,2000
L011,2017,2,774,4,서울,,10대,355000,1.75,1.01,200000,28630000,26930000,22180000,210000,770000,250000,2050000,1040000,5850000,19730000,10220000,41130000,5000,2000
L011,2017,3,772,4,서울,,10대,360000,1.78,1,210000,29900000,28110000,23310000,190000,780000,270000,2160000,940000,6420000,20460000,10430000,43390000,5000,2000
L011,2017,4,772,4,서울,,10대,378000,1.79,0.98,220000,28950000,27460000,22820000,190000,710000,280000,2110000,980000,6910000,19280000,10890000,42370000,5000,2000
L011,2017,5,773,4,서울,,10대,379000,1.79,0.99,190000,27710000,26180000,21730000,190000,590000,310000,2120000,970000,6030000,18920000,10140000,41170000,5000,2000
L011,2017,6,773,4,서울,,10대,375000,1.79,1.01,220000,34790000,33350000,29250000,170000,630000,90000,2120000,990000,5790000,26320000,10010000,55070000,5000,2000
L011,2017,7,774,4,서울,,10대,371000,1.79,1.02,200000,35990000,34510000,29770000,160000,650000,300000,2210000,1070000,5960000,27200000,10360000,56640000,5000,2000
L011,2017,8,774,4,서울,,10대,368000,1.79,1.02,210000,29820000,28780000,25110000,140000,550000,200000,1710000,950000,5180000,22410000,10510000,40250000,5000,2000
L011,2017,9,774,4,서울,,10대,366000,1.78,1.03,210000,27460000,26450000,22900000,130000,610000,370000,1670000,760000,5390000,20060000,10530000,36400000,6000,2000
L011,2017,10,775,4,서울,,10대,362000,1.77,1.03,210000,28450000,27120000,23680000,110000,600000,250000,1820000,830000,5390000,20720000,10520000,38640000,5000,2000
L011,2017,11,776,4,서울,,10대,355000,1.76,1.02,200000,29940000,28800000,25420000,140000,630000,80000,1810000,830000,5170000,22590000,10050000,42270000,5000,2000
L011,2017,12,777,4,서울,,10대,352000,1.76,1.02,200000,31710000,29620000,26100000,130000,650000,80000,1670000,790000,5180000,23470000,9640000,44760000,5000,2000
L021,2016,1,811,2,인천,,10대,17000,1.29,1.08,70000,5840000,4970000,4840000,0,130000,0,0,0,130000,4840000,0,4970000,0,0
L021,2016,2,767,4,인천,,10대,102000,1.65,1.02,170000,16020000,14240000,8850000,160000,1810000,800000,1300000,150000,8620000,5160000,6810000,18610000,4000,2000
L021,2016,3,765,4,인천,,10대,104000,1.68,1.02,200000,16350000,13700000,7810000,170000,1980000,820000,1510000,140000,8150000,5080000,7140000,17930000,4000,2000
L021,2016,4,764,4,인천,,10대,108000,1.72,1.02,210000,16410000,14480000,8240000,170000,2150000,980000,1610000,180000,8630000,5400000,7540000,19280000,5000,2000
L021,2016,5,765,4,인천,,10대,109000,1.72,1.02,180000,15730000,14410000,8360000,190000,2140000,760000,1800000,130000,8770000,5230000,8000000,19220000,5000,2000
L021,2016,6,765,4,인천,,10대,108000,1.72,1.04,200000,14560000,13020000,7320000,160000,2010000,530000,1930000,120000,6830000,5850000,7670000,17590000,5000,2000
L021,2016,7,766,4,인천,,10대,107000,1.72,1.06,190000,14230000,13240000,7780000,170000,1920000,560000,2030000,130000,7820000,5060000,7770000,18060000,5000,2000
L021,2016,8,766,4,인천,,10대,107000,1.72,1.07,180000,13920000,13400000,8440000,190000,1210000,610000,2020000,110000,7830000,5220000,7820000,18880000,5000,2000
L021,2016,9,766,4,인천,,10대,107000,1.71,1.07,200000,13520000,12860000,8000000,230000,1110000,570000,2060000,90000,7000000,5500000,7830000,18350000,5000,2000
L021,2016,10,767,4,인천,,10대,105000,1.7,1.07,200000,13880000,12760000,8080000,200000,1220000,430000,2170000,140000,6050000,6320000,8200000,18140000,5000,2000
L021,2016,11,768,4,인천,,10대,104000,1.68,1.07,200000,17120000,15500000,11070000,190000,1180000,250000,2260000,170000,6110000,9000000,11790000,18980000,5000,2000
L021,2016,12,769,4,인천,,10대,104000,1.67,1.06,200000,16050000,14790000,10190000,230000,970000,110000,2700000,160000,5790000,8550000,11060000,22340000,5000,3000
L021,2017,1,770,4,인천,,10대,105000,1.64,1.05,200000,14940000,13400000,8660000,230000,1220000,110000,2620000,180000,6670000,6270000,10590000,19350000,5000,2000
L021,2017,2,768,4,인천,,10대,105000,1.68,1.09,200000,15090000,14030000,8780000,220000,1340000,80000,3060000,290000,7030000,6460000,11350000,19630000,5000,2000
L021,2017,3,767,4,인천,,10대,107000,1.7,1.08,220000,15160000,14460000,9490000,210000,1110000,210000,2890000,210000,7340000,6680000,11120000,20990000,5000,2000
L021,2017,4,767,4,인천,,10대,111000,1.73,1.08,230000,14820000,14250000,9150000,210000,1270000,130000,2800000,260000,7740000,6030000,11400000,20670000,5000,2000
L021,2017,5,768,4,인천,,10대,111000,1.73,1.08,200000,14590000,13990000,8870000,200000,1300000,150000,2770000,330000,7990000,5450000,10510000,19710000,5000,2000
